Rule	ID	Consequent	TP	FP	TN	FN	Acc	AUC	CONF	Cov	FPR	G-Mean	GR	GR_Pct	Jacc	SuppDiff	Supp	TNR	TPR	WRAcc	WRAcc_Norm
28	195499718	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
29	-450445844	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
30	-624142826	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
31	166632773	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
32	1946061307	1	1	1	19	9	0.666667	0.525000	0.500000	0.066667	0.050000	0.308221	2.000000	1.000000	0.090909	0.050000	0.033333	0.950000	0.100000	0.011111	0.525000	
33	-1793332002	1	0	0	20	10	0.666667	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	-0.000000	0.500000	
34	-2039075478	1	10	11	9	0	0.633333	0.725000	0.476190	0.700000	0.550000	0.670820	1.818182	1.000000	0.476190	0.450000	0.333333	0.450000	1.000000	0.100000	0.725000	
35	-1589144886	1	5	2	18	5	0.766667	0.700000	0.714286	0.233333	0.100000	0.670820	5.000000	1.000000	0.416667	0.400000	0.166667	0.900000	0.500000	0.088889	0.700000	
36	1233962966	1	10	15	5	0	0.500000	0.625000	0.400000	0.833333	0.750000	0.500000	1.333333	1.000000	0.400000	0.250000	0.333333	0.250000	1.000000	0.055556	0.625000	
37	1328677817	1	1	3	17	9	0.600000	0.475000	0.250000	0.133333	0.150000	0.291548	0.666667	0.000000	0.076923	-0.050000	0.033333	0.850000	0.100000	-0.011111	0.475000	
38	589796965	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
39	-645296471	1	10	8	12	0	0.733333	0.800000	0.555556	0.600000	0.400000	0.774597	2.500000	1.000000	0.555556	0.600000	0.333333	0.600000	1.000000	0.133333	0.800000	
40	-1242458919	1	0	7	13	10	0.433333	0.325000	0.000000	0.233333	0.350000	0.000000	0.000000	0.000000	0.000000	-0.350000	0.000000	0.650000	0.000000	-0.077778	0.325000	
41	-2095279178	1	1	2	18	9	0.633333	0.500000	0.333333	0.100000	0.100000	0.300000	1.000000	0.000000	0.083333	0.000000	0.033333	0.900000	0.100000	0.000000	0.500000	
42	388625936	1	10	7	13	0	0.766667	0.825000	0.588235	0.566667	0.350000	0.806226	2.857143	1.000000	0.588235	0.650000	0.333333	0.650000	1.000000	0.144444	0.825000	
43	378401255	1	10	9	11	0	0.700000	0.775000	0.526316	0.633333	0.450000	0.741620	2.222222	1.000000	0.526316	0.550000	0.333333	0.550000	1.000000	0.122222	0.775000	
44	72475067	1	10	7	13	0	0.766667	0.825000	0.588235	0.566667	0.350000	0.806226	2.857143	1.000000	0.588235	0.650000	0.333333	0.650000	1.000000	0.144444	0.825000	
45	959940575	1	5	7	13	5	0.600000	0.575000	0.416667	0.400000	0.350000	0.570088	1.428571	1.000000	0.294118	0.150000	0.166667	0.650000	0.500000	0.033333	0.575000	
46	79372234	1	10	7	13	0	0.766667	0.825000	0.588235	0.566667	0.350000	0.806226	2.857143	1.000000	0.588235	0.650000	0.333333	0.650000	1.000000	0.144444	0.825000	
47	134543272	1	5	8	12	5	0.566667	0.550000	0.384615	0.433333	0.400000	0.547723	1.250000	1.000000	0.277778	0.100000	0.166667	0.600000	0.500000	0.022222	0.550000	
48	-1733609367	2	9	19	1	1	0.333333	0.475000	0.321429	0.933333	0.950000	0.212132	0.947368	0.000000	0.310345	-0.050000	0.300000	0.050000	0.900000	-0.011111	0.475000	
49	-878947993	2	8	5	15	2	0.766667	0.775000	0.615385	0.433333	0.250000	0.774597	3.200000	1.000000	0.533333	0.550000	0.266667	0.750000	0.800000	0.122222	0.775000	
50	268672545	2	10	5	15	0	0.833333	0.875000	0.666667	0.500000	0.250000	0.866025	4.000000	1.000000	0.666667	0.750000	0.333333	0.750000	1.000000	0.166667	0.875000	
51	-295692313	2	10	17	3	0	0.433333	0.575000	0.370370	0.900000	0.850000	0.387298	1.176471	1.000000	0.370370	0.150000	0.333333	0.150000	1.000000	0.033333	0.575000	
52	-1192281583	2	9	17	3	1	0.400000	0.525000	0.346154	0.866667	0.850000	0.367423	1.058824	1.000000	0.333333	0.050000	0.300000	0.150000	0.900000	0.011111	0.525000	
53	238073128	2	10	5	15	0	0.833333	0.875000	0.666667	0.500000	0.250000	0.866025	4.000000	1.000000	0.666667	0.750000	0.333333	0.750000	1.000000	0.166667	0.875000	
54	-142430835	2	10	15	5	0	0.500000	0.625000	0.400000	0.833333	0.750000	0.500000	1.333333	1.000000	0.400000	0.250000	0.333333	0.250000	1.000000	0.055556	0.625000	
55	1257650976	2	0	8	12	10	0.400000	0.300000	0.000000	0.266667	0.400000	0.000000	0.000000	0.000000	0.000000	-0.400000	0.000000	0.600000	0.000000	-0.088889	0.300000	
